Application Date,Company Name,Job Title,Application Status
2024-01-10,Google DeepMind,Research Scientist — NLP,Applied
2024-01-18,Anthropic,ML Engineer — Alignment,Applied
2024-02-01,Mistral AI,Senior ML Engineer,Applied
2024-02-14,Cohere,NLP Engineer — Production,Applied
2024-02-28,Datadog,Senior ML Engineer — Anomaly Detection,Applied
2024-03-05,Spotify,ML Engineer — Recommendations,Applied
2024-03-12,Stripe,ML Engineer — Fraud Detection,Applied
2024-03-20,Amazon,Applied Scientist — Alexa NLU,Applied
2024-04-01,Meta AI,Research Engineer — Generative Models,Applied
2024-04-08,Apple,ML Engineer — Siri NLP,Applied
2024-04-15,Nvidia,Deep Learning Engineer — Inference,Applied
2024-04-22,Hugging Face,ML Engineer — Transformers,Applied
2024-05-01,Booking.com,Senior ML Engineer — Search,Applied
2024-05-10,Revolut,ML Engineer — Credit Risk,Applied
2024-05-18,N26,Data Scientist — Fraud,Applied
2024-05-25,Glovo,Head of ML,Applied
2024-06-01,Typeform,ML Platform Engineer,Applied
2024-06-08,Cabify,Senior Data Scientist,Applied
2024-06-15,Jobandtalent,ML Engineer — Matching,Applied
2024-06-20,Adevinta,Principal Data Scientist,Applied
2024-06-25,BBVA AI Factory,AI Researcher,Applied
2024-07-01,Telefónica,Data Science Lead,Applied
2024-07-08,Inditex,ML Engineer — Demand Forecasting,Applied
2024-07-15,Mapfre Digital,AI Engineer,Applied
2024-07-20,Carto,Geospatial ML Engineer,Applied
